"symbol","date","isEnabled","name"
"A","2024-04-19","True","AGILENT TECHNOLOGIES INC"
"AA","2024-04-19","True","ALCOA CORP"
"AAA","2024-04-19","True","ALTERNATIVE ACCESS FIRST PRI"
"AAAU","2024-04-19","True","GOLDMAN SACHS PHYSICAL GOLD"
"AACG","2024-04-19","True","ATA CREATIVITY GLOBAL - ADR"
"AACI","2024-04-19","True","ARMADA ACQUISITION CORP I"
"AACIU","2024-04-19","True","ARMADA ACQUISITION CORP I"
"AACIW","2024-04-19","True",""
"AACT","2024-04-19","True","ARES ACQUISITION CORP II"
"AACT+","2024-04-19","True",""
"AACT=","2024-04-19","True","ARES ACQUISITION CORP II"
"AADI","2024-04-19","True","AADI BIOSCIENCE INC"
"AADR","2024-04-19","True","ADVISORSHARES DORSEY WRIGHT"
"AAGR","2024-04-19","True","AFRICAN AGRICULTURE HOLDINGS"
"AAGRW","2024-04-19","True",""
"AAL","2024-04-19","True","AMERICAN AIRLINES GROUP INC"
"AAMC","2024-04-19","True","ALTISOURCE ASSET MANAGEMENT"
"AAME","2024-04-19","True","ATLANTIC AMERICAN CORP"
"AAN","2024-04-19","True","AARON'S CO INC/THE"
"AAOI","2024-04-19","True","APPLIED OPTOELECTRONICS INC"
